Timestamp,Context,StepType,Name,CostSeconds
2026-04-15 21:19:47,查询M31,LLM,hunyuan-turbo,2.055
2026-04-15 21:19:47,get_astron,Tool,get_astronomy_object,0.056
2026-04-15 21:19:50,查询M31,LLM,hunyuan-turbo,2.749
2026-04-15 21:29:02,查询M31,LLM,hunyuan-turbo,2.216
2026-04-15 21:29:03,get_astron,Tool,get_astronomy_object,0.052
2026-04-15 21:29:05,查询M31,LLM,hunyuan-turbo,2.859
2026-04-15 21:29:05,查询M31,Total,End-to-End,5.142
2026-04-15 21:29:11,查询M1,LLM,hunyuan-turbo,1.859
2026-04-15 21:29:23,get_astron,Tool,get_astronomy_object,12.515
2026-04-15 21:29:26,查询M1,LLM,hunyuan-turbo,2.868
2026-04-15 21:29:26,查询M1,Total,End-to-End,17.266
2026-04-15 21:29:48,查询M1,LLM,hunyuan-turbo,17.602
2026-04-15 21:29:48,查询M1,Total,End-to-End,17.605
2026-04-15 21:30:36,查询M1,LLM,hunyuan-turbo,20.896
2026-04-15 21:30:36,查询M1,Total,End-to-End,20.897
2026-04-15 21:30:42,查询M31,LLM,hunyuan-turbo,1.910
2026-04-15 21:30:42,get_astron,Tool,get_astronomy_object,0.007
2026-04-15 21:30:44,查询M31,LLM,hunyuan-turbo,2.852
2026-04-15 21:30:44,查询M31,Total,End-to-End,4.794
